pname,pvalue,type,id
stoptol,1.00E-10,float,4
thickfact,3.65E-07,float,4
backflag,1,int,5
backreduce,0.8,float,5
backtol,1.4,float,5
dbdgamma,0,float,5
dbdkappa,1.00E-05,float,5
dbdtheta,0.678098368,float,5
epsrn,0.039146129,float,5
fluxtol,200000,float,5
hclosexmd,0.067603187,float,5
headtol,0.35,float,5
iacl,1,int,5
ibotav,1,int,5
idroptol,1,int,5
ilumethod,2,int,5
iprnwt,1,int,5
iredsys,0,int,5
level,7,int,5
levfill,5,int,5
linmeth,2,int,5
maxbackiter,50,int,5
maxiterout,100,int,5
maxitinner,50,int,5
momfact,0.1,float,5
msdr,15,int,5
mxiterxmd,20,int,5
norder,0,int,5
north,7,int,5
rrctols,0,float,5
stoptol,1.00E-10,float,5
thickfact,1.52E-06,float,5
backflag,1,int,6
backreduce,0.8,float,6
backtol,1.4,float,6
dbdgamma,0,float,6
dbdkappa,1.00E-05,float,6
dbdtheta,0.781562471,float,6
epsrn,0.004040167,float,6
fluxtol,200000,float,6
hclosexmd,0.032737669,float,6
headtol,0.35,float,6
iacl,1,int,6
ibotav,1,int,6
idroptol,1,int,6
ilumethod,2,int,6
iprnwt,1,int,6
iredsys,0,int,6
level,7,int,6
levfill,5,int,6
linmeth,2,int,6
maxbackiter,50,int,6
maxiterout,100,int,6
maxitinner,50,int,6
momfact,0.1,float,6
msdr,15,int,6
mxiterxmd,20,int,6
norder,0,int,6
north,7,int,6
rrctols,0,float,6
stoptol,1.00E-10,float,6
thickfact,5.53E-06,float,6
backflag,1,int,7
backreduce,0.8,float,7
backtol,1.4,float,7
dbdgamma,0,float,7
dbdkappa,1.00E-05,float,7
dbdtheta,0.838016218,float,7
epsrn,0.043692607,float,7
fluxtol,200000,float,7
hclosexmd,0.088774953,float,7
headtol,0.35,float,7
iacl,1,int,7
ibotav,1,int,7
idroptol,1,int,7
ilumethod,2,int,7
iprnwt,1,int,7
iredsys,0,int,7
level,7,int,7
levfill,5,int,7
linmeth,2,int,7
maxbackiter,50,int,7
maxiterout,100,int,7
maxitinner,50,int,7
momfact,0.1,float,7
msdr,15,int,7
mxiterxmd,20,int,7
norder,0,int,7
north,7,int,7
rrctols,0,float,7
stoptol,1.00E-10,float,7
thickfact,6.96E-06,float,7
backflag,1,int,8
backreduce,0.8,float,8
backtol,1.4,float,8
dbdgamma,0,float,8
dbdkappa,1.00E-05,float,8
dbdtheta,0.657516369,float,8
epsrn,0.018585176,float,8
fluxtol,200000,float,8
hclosexmd,0.058391592,float,8
headtol,0.35,float,8
iacl,1,int,8
ibotav,1,int,8
idroptol,1,int,8
ilumethod,2,int,8
iprnwt,1,int,8
iredsys,0,int,8
level,7,int,8
levfill,5,int,8
linmeth,2,int,8
maxbackiter,50,int,8
maxiterout,100,int,8
maxitinner,50,int,8
momfact,0.1,float,8
msdr,15,int,8
mxiterxmd,20,int,8
norder,0,int,8
north,7,int,8
rrctols,0,float,8
stoptol,1.00E-10,float,8
thickfact,7.16E-06,float,8
backflag,1,int,9
backreduce,0.8,float,9
backtol,1.4,float,9
dbdgamma,0,float,9
dbdkappa,1.00E-05,float,9
dbdtheta,0.902464916,float,9
epsrn,0.031283221,float,9
fluxtol,200000,float,9
hclosexmd,0.055236592,float,9
headtol,0.35,float,9
iacl,1,int,9
ibotav,1,int,9
idroptol,1,int,9
ilumethod,2,int,9
iprnwt,1,int,9
iredsys,0,int,9
level,7,int,9
levfill,5,int,9
linmeth,2,int,9
maxbackiter,50,int,9
maxiterout,100,int,9
maxitinner,50,int,9
momfact,0.1,float,9
msdr,15,int,9
mxiterxmd,20,int,9
norder,0,int,9
north,7,int,9
rrctols,0,float,9
stoptol,1.00E-10,float,9
thickfact,1.02E-06,float,9
backflag,1,int,10
backreduce,0.8,float,10
backtol,1.4,float,10
dbdgamma,0,float,10
dbdkappa,1.00E-05,float,10
dbdtheta,0.841358066,float,10
epsrn,0.001898516,float,10
fluxtol,200000,float,10
hclosexmd,0.04895363,float,10
headtol,0.35,float,10
iacl,1,int,10
ibotav,1,int,10
idroptol,1,int,10
ilumethod,2,int,10
iprnwt,1,int,10
iredsys,0,int,10
level,7,int,10
levfill,5,int,10
linmeth,2,int,10
maxbackiter,50,int,10
maxiterout,100,int,10
maxitinner,50,int,10
momfact,0.1,float,10
msdr,15,int,10
mxiterxmd,20,int,10
norder,0,int,10
north,7,int,10
rrctols,0,float,10
stoptol,1.00E-10,float,10
thickfact,7.45E-07,float,10
backflag,1,int,11
backreduce,0.8,float,11
backtol,1.4,float,11
dbdgamma,0,float,11
dbdkappa,1.00E-05,float,11
dbdtheta,0.729993747,float,11
epsrn,0.025286443,float,11
fluxtol,200000,float,11
hclosexmd,0.073337308,float,11
headtol,0.35,float,11
iacl,1,int,11
ibotav,1,int,11
idroptol,1,int,11
ilumethod,2,int,11
iprnwt,1,int,11
iredsys,0,int,11
level,7,int,11
levfill,5,int,11
linmeth,2,int,11
maxbackiter,50,int,11
maxiterout,100,int,11
maxitinner,50,int,11
momfact,0.1,float,11
msdr,15,int,11
mxiterxmd,20,int,11
norder,0,int,11
north,7,int,11
rrctols,0,float,11
stoptol,1.00E-10,float,11
thickfact,2.84E-06,float,11
backflag,1,int,12
backreduce,0.8,float,12
backtol,1.4,float,12
dbdgamma,0,float,12
dbdkappa,1.00E-05,float,12
dbdtheta,0.89815858,float,12
epsrn,0.024623312,float,12
fluxtol,200000,float,12
hclosexmd,0.067549967,float,12
headtol,0.35,float,12
iacl,1,int,12
ibotav,1,int,12
idroptol,1,int,12
ilumethod,2,int,12
iprnwt,1,int,12
iredsys,0,int,12
level,7,int,12
levfill,5,int,12
linmeth,2,int,12
maxbackiter,50,int,12
maxiterout,100,int,12
maxitinner,50,int,12
momfact,0.1,float,12
msdr,15,int,12
mxiterxmd,20,int,12
norder,0,int,12
north,7,int,12
rrctols,0,float,12
stoptol,1.00E-10,float,12
thickfact,2.41E-06,float,12
backflag,1,int,13
backreduce,0.8,float,13
backtol,1.4,float,13
dbdgamma,0,float,13
dbdkappa,1.00E-05,float,13
dbdtheta,0.771191183,float,13
epsrn,0.030961027,float,13
fluxtol,200000,float,13
hclosexmd,0.009578677,float,13
headtol,0.35,float,13
iacl,1,int,13
ibotav,1,int,13
idroptol,1,int,13
ilumethod,2,int,13
iprnwt,1,int,13
iredsys,0,int,13
level,7,int,13
levfill,5,int,13
linmeth,2,int,13
maxbackiter,50,int,13
maxiterout,100,int,13
maxitinner,50,int,13
momfact,0.1,float,13
msdr,15,int,13
mxiterxmd,20,int,13
norder,0,int,13
north,7,int,13
rrctols,0,float,13
stoptol,1.00E-10,float,13
thickfact,2.04E-06,float,13
backflag,1,int,14
backreduce,0.8,float,14
backtol,1.4,float,14
dbdgamma,0,float,14
dbdkappa,1.00E-05,float,14
dbdtheta,0.717180009,float,14
epsrn,0.033824301,float,14
fluxtol,200000,float,14
hclosexmd,0.037331599,float,14
headtol,0.35,float,14
iacl,1,int,14
ibotav,1,int,14
idroptol,1,int,14
ilumethod,2,int,14
iprnwt,1,int,14
iredsys,0,int,14
level,7,int,14
levfill,5,int,14
linmeth,2,int,14
maxbackiter,50,int,14
maxiterout,100,int,14
maxitinner,50,int,14
momfact,0.1,float,14
msdr,15,int,14
mxiterxmd,20,int,14
norder,0,int,14
north,7,int,14
rrctols,0,float,14
stoptol,1.00E-10,float,14
thickfact,9.06E-06,float,14
backflag,1,int,15
backreduce,0.8,float,15
backtol,1.4,float,15
dbdgamma,0,float,15
dbdkappa,1.00E-05,float,15
dbdtheta,0.805983491,float,15
epsrn,0.048589789,float,15
fluxtol,200000,float,15
hclosexmd,0.083110904,float,15
headtol,0.35,float,15
iacl,1,int,15
ibotav,1,int,15
idroptol,1,int,15
ilumethod,2,int,15
iprnwt,1,int,15
iredsys,0,int,15
level,7,int,15
levfill,5,int,15
linmeth,2,int,15
maxbackiter,50,int,15
maxiterout,100,int,15
maxitinner,50,int,15
momfact,0.1,float,15
msdr,15,int,15
mxiterxmd,20,int,15
norder,0,int,15
north,7,int,15
rrctols,0,float,15
stoptol,1.00E-10,float,15
thickfact,1.78E-06,float,15
backflag,1,int,16
backreduce,0.8,float,16
backtol,1.4,float,16
dbdgamma,0,float,16
dbdkappa,1.00E-05,float,16
dbdtheta,0.897823614,float,16
epsrn,0.010023624,float,16
fluxtol,200000,float,16
hclosexmd,0.085759464,float,16
headtol,0.35,float,16
iacl,1,int,16
ibotav,1,int,16
idroptol,1,int,16
ilumethod,2,int,16
iprnwt,1,int,16
iredsys,0,int,16
level,7,int,16
levfill,5,int,16
linmeth,2,int,16
maxbackiter,50,int,16
maxiterout,100,int,16
maxitinner,50,int,16
momfact,0.1,float,16
msdr,15,int,16
mxiterxmd,20,int,16
norder,0,int,16
north,7,int,16
rrctols,0,float,16
stoptol,1.00E-10,float,16
thickfact,5.42E-06,float,16
backflag,1,int,17
backreduce,0.8,float,17
backtol,1.4,float,17
dbdgamma,0,float,17
dbdkappa,1.00E-05,float,17
dbdtheta,0.977771538,float,17
epsrn,0.018893448,float,17
fluxtol,200000,float,17
hclosexmd,0.073730445,float,17
headtol,0.35,float,17
iacl,1,int,17
ibotav,1,int,17
idroptol,1,int,17
ilumethod,2,int,17
iprnwt,1,int,17
iredsys,0,int,17
level,7,int,17
levfill,5,int,17
linmeth,2,int,17
maxbackiter,50,int,17
maxiterout,100,int,17
maxitinner,50,int,17
momfact,0.1,float,17
msdr,15,int,17
mxiterxmd,20,int,17
norder,0,int,17
north,7,int,17
rrctols,0,float,17
stoptol,1.00E-10,float,17
thickfact,9.38E-06,float,17
backflag,1,int,18
backreduce,0.8,float,18
backtol,1.4,float,18
dbdgamma,0,float,18
dbdkappa,1.00E-05,float,18
dbdtheta,0.652631153,float,18
epsrn,0.026447915,float,18
fluxtol,200000,float,18
hclosexmd,0.094274009,float,18
headtol,0.35,float,18
iacl,1,int,18
ibotav,1,int,18
idroptol,1,int,18
ilumethod,2,int,18
iprnwt,1,int,18
iredsys,0,int,18
level,7,int,18
levfill,5,int,18
linmeth,2,int,18
maxbackiter,50,int,18
maxiterout,100,int,18
maxitinner,50,int,18
momfact,0.1,float,18
msdr,15,int,18
mxiterxmd,20,int,18
norder,0,int,18
north,7,int,18
rrctols,0,float,18
stoptol,1.00E-10,float,18
thickfact,8.54E-06,float,18
backflag,1,int,19
backreduce,0.8,float,19
backtol,1.4,float,19
dbdgamma,0,float,19
dbdkappa,1.00E-05,float,19
dbdtheta,0.719867198,float,19
epsrn,0.009756039,float,19
fluxtol,200000,float,19
hclosexmd,0.082045889,float,19
headtol,0.35,float,19
iacl,1,int,19
ibotav,1,int,19
idroptol,1,int,19
ilumethod,2,int,19
iprnwt,1,int,19
iredsys,0,int,19
level,7,int,19
levfill,5,int,19
linmeth,2,int,19
maxbackiter,50,int,19
maxiterout,100,int,19
maxitinner,50,int,19
momfact,0.1,float,19
msdr,15,int,19
mxiterxmd,20,int,19
norder,0,int,19
north,7,int,19
rrctols,0,float,19
stoptol,1.00E-10,float,19
thickfact,4.36E-06,float,19
backflag,1,int,20
backreduce,0.8,float,20
backtol,1.4,float,20
dbdgamma,0,float,20
dbdkappa,1.00E-05,float,20
dbdtheta,0.650120776,float,20
epsrn,0.048468984,float,20
fluxtol,200000,float,20
hclosexmd,0.097774626,float,20
headtol,0.35,float,20
iacl,1,int,20
ibotav,1,int,20
idroptol,1,int,20
ilumethod,2,int,20
iprnwt,1,int,20
iredsys,0,int,20
level,7,int,20
levfill,5,int,20
linmeth,2,int,20
maxbackiter,50,int,20
maxiterout,100,int,20
maxitinner,50,int,20
momfact,0.1,float,20
msdr,15,int,20
mxiterxmd,20,int,20
norder,0,int,20
north,7,int,20
rrctols,0,float,20
stoptol,1.00E-10,float,20
thickfact,2.86E-06,float,20
backflag,1,int,21
backreduce,0.8,float,21
backtol,1.4,float,21
dbdgamma,0,float,21
dbdkappa,1.00E-05,float,21
dbdtheta,0.63422115,float,21
epsrn,0.041962812,float,21
fluxtol,200000,float,21
hclosexmd,0.070185765,float,21
headtol,0.35,float,21
iacl,1,int,21
ibotav,1,int,21
idroptol,1,int,21
ilumethod,2,int,21
iprnwt,1,int,21
iredsys,0,int,21
level,7,int,21
levfill,5,int,21
linmeth,2,int,21
maxbackiter,50,int,21
maxiterout,100,int,21
maxitinner,50,int,21
momfact,0.1,float,21
msdr,15,int,21
mxiterxmd,20,int,21
norder,0,int,21
north,7,int,21
rrctols,0,float,21
stoptol,1.00E-10,float,21
thickfact,1.38E-06,float,21
backflag,1,int,22
backreduce,0.8,float,22
backtol,1.4,float,22
dbdgamma,0,float,22
dbdkappa,1.00E-05,float,22
dbdtheta,0.649176534,float,22
epsrn,0.045424882,float,22
fluxtol,200000,float,22
hclosexmd,0.07936481,float,22
headtol,0.35,float,22
iacl,1,int,22
ibotav,1,int,22
idroptol,1,int,22
ilumethod,2,int,22
iprnwt,1,int,22
iredsys,0,int,22
level,7,int,22
levfill,5,int,22
linmeth,2,int,22
maxbackiter,50,int,22
maxiterout,100,int,22
maxitinner,50,int,22
momfact,0.1,float,22
msdr,15,int,22
mxiterxmd,20,int,22
norder,0,int,22
north,7,int,22
rrctols,0,float,22
stoptol,1.00E-10,float,22
thickfact,9.00E-07,float,22
backflag,1,int,23
backreduce,0.8,float,23
backtol,1.4,float,23
dbdgamma,0,float,23
dbdkappa,1.00E-05,float,23
dbdtheta,0.820016182,float,23
epsrn,0.014145043,float,23
fluxtol,200000,float,23
hclosexmd,0.091351803,float,23
headtol,0.35,float,23
iacl,1,int,23
ibotav,1,int,23
idroptol,1,int,23
ilumethod,2,int,23
iprnwt,1,int,23
iredsys,0,int,23
level,7,int,23
levfill,5,int,23
linmeth,2,int,23
maxbackiter,50,int,23
maxiterout,100,int,23
maxitinner,50,int,23
momfact,0.1,float,23
msdr,15,int,23
mxiterxmd,20,int,23
norder,0,int,23
north,7,int,23
rrctols,0,float,23
stoptol,1.00E-10,float,23
thickfact,1.85E-06,float,23
backflag,1,int,24
backreduce,0.8,float,24
backtol,1.4,float,24
dbdgamma,0,float,24
dbdkappa,1.00E-05,float,24
dbdtheta,0.772464941,float,24
epsrn,0.006425552,float,24
fluxtol,200000,float,24
hclosexmd,0.001234389,float,24
headtol,0.35,float,24
iacl,1,int,24
ibotav,1,int,24
idroptol,1,int,24
ilumethod,2,int,24
iprnwt,1,int,24
iredsys,0,int,24
level,7,int,24
levfill,5,int,24
linmeth,2,int,24
maxbackiter,50,int,24
maxiterout,100,int,24
maxitinner,50,int,24
momfact,0.1,float,24
msdr,15,int,24
mxiterxmd,20,int,24
norder,0,int,24
north,7,int,24
rrctols,0,float,24
stoptol,1.00E-10,float,24
thickfact,5.35E-06,float,24
backflag,1,int,25
backreduce,0.8,float,25
backtol,1.4,float,25
dbdgamma,0,float,25
dbdkappa,1.00E-05,float,25
dbdtheta,0.681431813,float,25
epsrn,0.028443362,float,25
fluxtol,200000,float,25
hclosexmd,0.006855096,float,25
headtol,0.35,float,25
iacl,1,int,25
ibotav,1,int,25
idroptol,1,int,25
ilumethod,2,int,25
iprnwt,1,int,25
iredsys,0,int,25
level,7,int,25
levfill,5,int,25
linmeth,2,int,25
maxbackiter,50,int,25
maxiterout,100,int,25
maxitinner,50,int,25
momfact,0.1,float,25
msdr,15,int,25
mxiterxmd,20,int,25
norder,0,int,25
north,7,int,25
rrctols,0,float,25
stoptol,1.00E-10,float,25
thickfact,6.05E-06,float,25
backflag,1,int,26
backreduce,0.8,float,26
backtol,1.4,float,26
dbdgamma,0,float,26
dbdkappa,1.00E-05,float,26
dbdtheta,0.957732495,float,26
epsrn,0.004452222,float,26
fluxtol,200000,float,26
hclosexmd,0.072043168,float,26
headtol,0.35,float,26
iacl,1,int,26
ibotav,1,int,26
idroptol,1,int,26
ilumethod,2,int,26
iprnwt,1,int,26
iredsys,0,int,26
level,7,int,26
levfill,5,int,26
linmeth,2,int,26
maxbackiter,50,int,26
maxiterout,100,int,26
maxitinner,50,int,26
momfact,0.1,float,26
msdr,15,int,26
mxiterxmd,20,int,26
norder,0,int,26
north,7,int,26
rrctols,0,float,26
stoptol,1.00E-10,float,26
thickfact,3.98E-06,float,26
backflag,1,int,27
backreduce,0.8,float,27
backtol,1.4,float,27
dbdgamma,0,float,27
dbdkappa,1.00E-05,float,27
dbdtheta,0.966936644,float,27
epsrn,0.031236588,float,27
fluxtol,200000,float,27
hclosexmd,0.073945685,float,27
headtol,0.35,float,27
iacl,1,int,27
ibotav,1,int,27
idroptol,1,int,27
ilumethod,2,int,27
iprnwt,1,int,27
iredsys,0,int,27
level,7,int,27
levfill,5,int,27
linmeth,2,int,27
maxbackiter,50,int,27
maxiterout,100,int,27
maxitinner,50,int,27
momfact,0.1,float,27
msdr,15,int,27
mxiterxmd,20,int,27
norder,0,int,27
north,7,int,27
rrctols,0,float,27
stoptol,1.00E-10,float,27
thickfact,1.91E-06,float,27
backflag,1,int,28
backreduce,0.8,float,28
backtol,1.4,float,28
dbdgamma,0,float,28
dbdkappa,1.00E-05,float,28
dbdtheta,0.607398816,float,28
epsrn,0.01308134,float,28
fluxtol,200000,float,28
hclosexmd,0.081026072,float,28
headtol,0.35,float,28
iacl,1,int,28
ibotav,1,int,28
idroptol,1,int,28
ilumethod,2,int,28
iprnwt,1,int,28
iredsys,0,int,28
level,7,int,28
levfill,5,int,28
linmeth,2,int,28
maxbackiter,50,int,28
maxiterout,100,int,28
maxitinner,50,int,28
momfact,0.1,float,28
msdr,15,int,28
mxiterxmd,20,int,28
norder,0,int,28
north,7,int,28
rrctols,0,float,28
stoptol,1.00E-10,float,28
thickfact,5.54E-06,float,28
backflag,1,int,29
backreduce,0.8,float,29
backtol,1.4,float,29
dbdgamma,0,float,29
dbdkappa,1.00E-05,float,29
dbdtheta,0.724799063,float,29
epsrn,0.00411328,float,29
fluxtol,200000,float,29
hclosexmd,0.050049408,float,29
headtol,0.35,float,29
iacl,1,int,29
ibotav,1,int,29
idroptol,1,int,29
ilumethod,2,int,29
iprnwt,1,int,29
iredsys,0,int,29
level,7,int,29
levfill,5,int,29
linmeth,2,int,29
maxbackiter,50,int,29
maxiterout,100,int,29
maxitinner,50,int,29
momfact,0.1,float,29
msdr,15,int,29
mxiterxmd,20,int,29
norder,0,int,29
north,7,int,29
rrctols,0,float,29
stoptol,1.00E-10,float,29
thickfact,7.78E-06,float,29
backflag,1,int,30
backreduce,0.8,float,30
backtol,1.4,float,30
dbdgamma,0,float,30
dbdkappa,1.00E-05,float,30
dbdtheta,0.974841243,float,30
epsrn,0.048064042,float,30
fluxtol,200000,float,30
hclosexmd,0.072535922,float,30
headtol,0.35,float,30
iacl,1,int,30
ibotav,1,int,30
idroptol,1,int,30
ilumethod,2,int,30
iprnwt,1,int,30
iredsys,0,int,30
level,7,int,30
levfill,5,int,30
linmeth,2,int,30
maxbackiter,50,int,30
maxiterout,100,int,30
maxitinner,50,int,30
momfact,0.1,float,30
msdr,15,int,30
mxiterxmd,20,int,30
norder,0,int,30
north,7,int,30
rrctols,0,float,30
stoptol,1.00E-10,float,30
thickfact,8.48E-06,float,30
backflag,1,int,31
backreduce,0.8,float,31
backtol,1.4,float,31
dbdgamma,0,float,31
dbdkappa,1.00E-05,float,31
dbdtheta,0.85064959,float,31
epsrn,0.015292148,float,31
fluxtol,200000,float,31
hclosexmd,0.044698661,float,31
headtol,0.35,float,31
iacl,1,int,31
ibotav,1,int,31
idroptol,1,int,31
ilumethod,2,int,31
iprnwt,1,int,31
iredsys,0,int,31
level,7,int,31
levfill,5,int,31
linmeth,2,int,31
maxbackiter,50,int,31
maxiterout,100,int,31
maxitinner,50,int,31
momfact,0.1,float,31
msdr,15,int,31
mxiterxmd,20,int,31
norder,0,int,31
north,7,int,31
rrctols,0,float,31
stoptol,1.00E-10,float,31
thickfact,6.78E-06,float,31
backflag,1,int,32
backreduce,0.8,float,32
backtol,1.4,float,32
dbdgamma,0,float,32
dbdkappa,1.00E-05,float,32
dbdtheta,0.636325211,float,32
epsrn,0.023987396,float,32
fluxtol,200000,float,32
hclosexmd,0.061330306,float,32
headtol,0.35,float,32
iacl,1,int,32
ibotav,1,int,32
idroptol,1,int,32
ilumethod,2,int,32
iprnwt,1,int,32
iredsys,0,int,32
level,7,int,32
levfill,5,int,32
linmeth,2,int,32
maxbackiter,50,int,32
maxiterout,100,int,32
maxitinner,50,int,32
momfact,0.1,float,32
msdr,15,int,32
mxiterxmd,20,int,32
norder,0,int,32
north,7,int,32
rrctols,0,float,32
stoptol,1.00E-10,float,32
thickfact,8.17E-06,float,32
backflag,1,int,33
backreduce,0.8,float,33
backtol,1.4,float,33
dbdgamma,0,float,33
dbdkappa,1.00E-05,float,33
dbdtheta,0.661048904,float,33
epsrn,0.008505466,float,33
fluxtol,200000,float,33
hclosexmd,0.001434924,float,33
headtol,0.35,float,33
iacl,1,int,33
ibotav,1,int,33
idroptol,1,int,33
ilumethod,2,int,33
iprnwt,1,int,33
iredsys,0,int,33
level,7,int,33
levfill,5,int,33
linmeth,2,int,33
maxbackiter,50,int,33
maxiterout,100,int,33
maxitinner,50,int,33
momfact,0.1,float,33
msdr,15,int,33
mxiterxmd,20,int,33
norder,0,int,33
north,7,int,33
rrctols,0,float,33
stoptol,1.00E-10,float,33
thickfact,2.80E-06,float,33
backflag,1,int,34
backreduce,0.8,float,34
backtol,1.4,float,34
dbdgamma,0,float,34
dbdkappa,1.00E-05,float,34
dbdtheta,0.934042152,float,34
epsrn,0.01504032,float,34
fluxtol,200000,float,34
hclosexmd,0.078300248,float,34
headtol,0.35,float,34
iacl,1,int,34
ibotav,1,int,34
idroptol,1,int,34
ilumethod,2,int,34
iprnwt,1,int,34
iredsys,0,int,34
level,7,int,34
levfill,5,int,34
linmeth,2,int,34
maxbackiter,50,int,34
maxiterout,100,int,34
maxitinner,50,int,34
momfact,0.1,float,34
msdr,15,int,34
mxiterxmd,20,int,34
norder,0,int,34
north,7,int,34
rrctols,0,float,34
stoptol,1.00E-10,float,34
thickfact,7.25E-06,float,34
backflag,1,int,35
backreduce,0.8,float,35
backtol,1.4,float,35
dbdgamma,0,float,35
dbdkappa,1.00E-05,float,35
dbdtheta,0.910379281,float,35
epsrn,0.032039536,float,35
fluxtol,200000,float,35
hclosexmd,0.034678722,float,35
headtol,0.35,float,35
iacl,1,int,35
ibotav,1,int,35
idroptol,1,int,35
ilumethod,2,int,35
iprnwt,1,int,35
iredsys,0,int,35
level,7,int,35
levfill,5,int,35
linmeth,2,int,35
maxbackiter,50,int,35
maxiterout,100,int,35
maxitinner,50,int,35
momfact,0.1,float,35
msdr,15,int,35
mxiterxmd,20,int,35
norder,0,int,35
north,7,int,35
rrctols,0,float,35
stoptol,1.00E-10,float,35
thickfact,9.09E-06,float,35
backflag,1,int,36
backreduce,0.8,float,36
backtol,1.4,float,36
dbdgamma,0,float,36
dbdkappa,1.00E-05,float,36
dbdtheta,0.993658358,float,36
epsrn,0.044015669,float,36
fluxtol,200000,float,36
hclosexmd,0.09335663,float,36
headtol,0.35,float,36
iacl,1,int,36
ibotav,1,int,36
idroptol,1,int,36
ilumethod,2,int,36
iprnwt,1,int,36
iredsys,0,int,36
level,7,int,36
levfill,5,int,36
linmeth,2,int,36
maxbackiter,50,int,36
maxiterout,100,int,36
maxitinner,50,int,36
momfact,0.1,float,36
msdr,15,int,36
mxiterxmd,20,int,36
norder,0,int,36
north,7,int,36
rrctols,0,float,36
stoptol,1.00E-10,float,36
thickfact,8.80E-06,float,36
backflag,1,int,37
backreduce,0.8,float,37
backtol,1.4,float,37
dbdgamma,0,float,37
dbdkappa,1.00E-05,float,37
dbdtheta,0.69029436,float,37
epsrn,0.041510332,float,37
fluxtol,200000,float,37
hclosexmd,0.079629574,float,37
headtol,0.35,float,37
iacl,1,int,37
ibotav,1,int,37
idroptol,1,int,37
ilumethod,2,int,37
iprnwt,1,int,37
iredsys,0,int,37
level,7,int,37
levfill,5,int,37
linmeth,2,int,37
maxbackiter,50,int,37
maxiterout,100,int,37
maxitinner,50,int,37
momfact,0.1,float,37
msdr,15,int,37
mxiterxmd,20,int,37
norder,0,int,37
